"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 20:05:13 BDT 2023","Mon Apr 10 20:05:19 BDT 2023","5961","Surefire suite","Surefire test","testcases.HumayunBookListingPageTestCase","testcases.HumayunBookListingPageTestCase","filteringReset","filteringReset",""
"passed","Sun Apr 09 23:04:57 BDT 2023","Sun Apr 09 23:05:42 BDT 2023","45039","Default suite","Default test","testcases.CartPageTeseCase","testcases.CartPageTeseCase","clickOnPlaceOrder","clickOnPlaceOrder",""
"failed","Sun Apr 09 23:01:52 BDT 2023","Sun Apr 09 23:02:35 BDT 2023","42544","Default suite","Default test","testcases.CartPageTeseCase","testcases.CartPageTeseCase","clickOnPlusButton","clickOnPlusButton",""
"broken","Mon Apr 10 20:05:07 BDT 2023","Mon Apr 10 20:05:13 BDT 2023","6002","Surefire suite","Surefire test","testcases.HumayunBookListingPageTestCase","testcases.HumayunBookListingPageTestCase","filteringMultiple","filteringMultiple",""
"passed","Mon Apr 10 20:05:40 BDT 2023","Mon Apr 10 20:05:52 BDT 2023","11687","Surefire suite","Surefire test","testcases.HumayunBookListingPageTestCase","testcases.HumayunBookListingPageTestCase","paginationNextPage","paginationNextPage",""
"passed","Sun Apr 09 22:14:50 BDT 2023","Sun Apr 09 22:15:33 BDT 2023","42891","Default suite","Default test","testcases.CartPageTeseCase","testcases.CartPageTeseCase","bookNameAssertion","bookNameAssertion",""
"broken","Mon Apr 10 20:05:01 BDT 2023","Mon Apr 10 20:05:07 BDT 2023","6080","Surefire suite","Surefire test","testcases.HumayunBookListingPageTestCase","testcases.HumayunBookListingPageTestCase","filtering2","filtering2",""
"passed","Sun Apr 09 22:52:57 BDT 2023","Sun Apr 09 22:53:37 BDT 2023","39916","Default suite","Default test","testcases.CartPageTeseCase","testcases.CartPageTeseCase","clickOnWishlist","clickOnWishlist",""
"passed","Sun Apr 09 21:38:37 BDT 2023","Sun Apr 09 21:38:45 BDT 2023","8037","Default suite","Default test","testcases.CartPageTeseCase","testcases.CartPageTeseCase","visitCartPage","visitCartPage",""
"broken","Mon Apr 10 20:05:30 BDT 2023","Mon Apr 10 20:05:40 BDT 2023","10737","Surefire suite","Surefire test","testcases.HumayunBookListingPageTestCase","testcases.HumayunBookListingPageTestCase","languageSelect","languageSelect",""
"passed","Mon Apr 10 19:43:34 BDT 2023","Mon Apr 10 19:44:01 BDT 2023","27592","Default suite","Default test","testcases.ShippingPageTeseCase","testcases.ShippingPageTeseCase","visitShippingPage","visitShippingPage",""
"passed","Sun Apr 09 22:17:48 BDT 2023","Sun Apr 09 22:18:31 BDT 2023","43324","Default suite","Default test","testcases.CartPageTeseCase","testcases.CartPageTeseCase","writerNameAssertion","writerNameAssertion",""
"broken","Mon Apr 10 20:04:55 BDT 2023","Mon Apr 10 20:05:01 BDT 2023","6395","Surefire suite","Surefire test","testcases.HumayunBookListingPageTestCase","testcases.HumayunBookListingPageTestCase","filtering","filtering",""
"passed","Mon Apr 10 20:07:01 BDT 2023","Mon Apr 10 20:07:10 BDT 2023","9965","Surefire suite","Surefire test","testcases.HumayunBookListingPageTestCase","testcases.HumayunBookListingPageTestCase","sortBestSeller","sortBestSeller",""
